id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,,,,,,Row Labels,Count of articleType
27010,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Jealous 21 Women Washed Light Blue Capris,,,,,,,
35941,Women,Apparel,Bottomwear,Capris,Charcoal,Summer,2012,Casual,Flying Machine Women Viscose Charcoal Capris,,,,,,,
27028,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Jealous 21 Women Blue Capris,,,,,,,
45499,Women,Apparel,Bottomwear,Capris,Navy Blue,Summer,2012,Casual,Fila Women Navy Blue Savari 3/4th Pants,,,,,,,
20371,Women,Apparel,Bottomwear,Capris,Black,Fall,2011,Sports,Urban Yoga Women Solid Black Capris,,,,,,,
43075,Women,Apparel,Bottomwear,Capris,Grey,Summer,2012,Sports,Nike Womens Grey Capris,,,,,,,
31464,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Sports,Nike Women Training Green Capris,,,,,,,
10713,Women,Apparel,Bottomwear,Capris,Blue,Winter,2011,Sports,Nike Women Blue Dri-Fit Capris,,,,,,,
43225,Women,Apparel,Bottomwear,Capris,Beige,Fall,2012,Casual,United Colors of Benetton Women Beige Capri,,,,,,,
38571,Women,Apparel,Bottomwear,Capris,Grey,Summer,2012,Sports,Nike Women Regular Grey Capris,,,,,,,
28522,Women,Apparel,Bottomwear,Capris,Pink,Summer,2012,Sports,Nike Women Jersey Cuffed Pink Capris,,,,,,,
33507,Women,Apparel,Bottomwear,Capris,White,Summer,2012,Casual,Doodle Kids Girl  White Capris,,,,,,,
2306,Women,Apparel,Bottomwear,Capris,Black,Fall,2010,Sports,Nike Women Cuffed Black Capris,,,,,,,
2954,Women,Apparel,Bottomwear,Capris,Yellow,Fall,2010,Casual,DUSG Women Uttarkashi Organic Endive Capri,,,,,,,
2953,Women,Apparel,Bottomwear,Capris,Yellow,Fall,2010,Casual,DUSG Women Rishikesh Organic Wheat Capri,,,,,,,
43074,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Sports,Nike Womens Black Capris,,,,,,,
2195,Women,Apparel,Bottomwear,Capris,Black,Fall,2010,Sports,ADIDAS Women Black Capris,,,,,,,
3483,Women,Apparel,Bottomwear,Capris,Black,Fall,2012,Casual,ADIDAS Women Black Capri,,,,,,,
33501,Women,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Doodle Kids Girl  Pink Capris,,,,,,,
25000,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,United Colors of Benetton Women Black Capris,,,,,,,
16225,Women,Apparel,Bottomwear,Capris,Black,Fall,2011,Ethnic,Puma Women Capri Sweat Black Capris,,,,,,,
3484,Women,Apparel,Bottomwear,Capris,Brown,Fall,2010,Sports,ADIDAS Women Darkcinde Brown Capri,,,,,,,
33506,Women,Apparel,Bottomwear,Capris,Green,Summer,2012,Casual,Doodle Kids Girl  Green Capris,,,,,,,
38570,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Sports,Nike Womens Black Capris,,,,,,,
17926,Women,Apparel,Bottomwear,Capris,Grey,Fall,2011,Casual,Nike Women Casual Grey Capri,,,,,,,
2580,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Sports,Domyos Women Black Capri,,,,,,,
15482,Women,Apparel,Bottomwear,Capris,Black,Fall,2011,Casual,Puma Women TP Cuffed Black Capris,,,,,,,
32637,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012,Sports,Nike Women Legend Tight Blue Capris,,,,,,,
13342,Women,Apparel,Bottomwear,Capris,Purple,Fall,2011,Casual,Gini and Jony Kids Girls Solid Purple Capris,,,,,,,
4849,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Sports,ADIDAS Women Tight Black Capri,,,,,,,
13345,Women,Apparel,Bottomwear,Capris,White,Fall,2011,Casual,Gini and Jony Kids Girls Solid White Capris,,,,,,,
57207,Women,Apparel,Bottomwear,Capris,Blue,Fall,2012,Casual,Kraus Jeans Women Blue Capris,,,,,,,
32655,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Sports,Nike Women Tech Black Capris,,,,,,,
31229,Women,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Puma Women Pink Capris,,,,,,,
7490,Women,Apparel,Bottomwear,Capris,Grey,Summer,2011,Sports,Nike Women Be Bold Grey Capri,,,,,,,
15484,Women,Apparel,Bottomwear,Capris,Black,Fall,2011,Casual,Puma Women TP  Black Capris,,,,,,,
46744,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Sports,Nike Women Black Capris,,,,,,,
31228,Women,Apparel,Bottomwear,Capris,Black,Fall,2013,Sports,Puma Women Black Basic Capris,,,,,,,
40070,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,ADIDAS Women Black Capris,,,,,,,
31221,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Puma Women Black Capris,,,,,,,
3912,Women,Apparel,Bottomwear,Capris,Grey,Summer,2012,Casual,Urban Yoga Women Yoga Grey Capri,,,,,,,
15338,Women,Apparel,Bottomwear,Capris,Grey,Fall,2011,Sports,Nike Women Solid Grey Capris,,,,,,,
21593,Women,Apparel,Bottomwear,Capris,Grey,Summer,2011,Casual,Nike Women Solid Grey Capris,,,,,,,
3510,Women,Apparel,Bottomwear,Capris,Black,Fall,2010,Sports,ADIDAS Women Black Silver Tights Capri,,,,,,,
53745,Women,Apparel,Bottomwear,Capris,Grey,Summer,2012,Casual,ADIDAS Women Dark Grey Capris,,,,,,,
53742,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,ADIDAS Women Black Capris,,,,,,,
27405,Women,Apparel,Bottomwear,Capris,Black,Summer,2018,Casual,Jockey Women Black Capris,,,,,,,
7940,Women,Apparel,Bottomwear,Capris,Grey,Fall,2011,Sports,Puma Women Move Dance Grey Capri,,,,,,,
5017,Women,Apparel,Bottomwear,Capris,Pink,Summer,2016,Casual,Levis Kids Girl's Alicia Pink Kidswear,,,,,,,
7544,Women,Apparel,Bottomwear,Capris,Grey,Summer,2011,Sports,Nike Women Classic Grey Capri,,,,,,,
27230,Women,Apparel,Bottomwear,Capris,White,Summer,2012,Casual,Doodle Kids Girl  White Capris,,,,,,,
7510,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Sports,Nike Women As Be Strong Black Capri,,,,,,,
53744,Women,Apparel,Bottomwear,Capris,Grey,Summer,2012,Casual,ADIDAS Women Grey Capris,,,,,,,
4770,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Sports,ADIDAS Women Ess Mf3s Black White Capri,,,,,,,
27229,Women,Apparel,Bottomwear,Capris,Green,Summer,2012,Casual,Doodle Kids Girl  Green Capris,,,,,,,
27012,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Jealous 21 Women Navy Blue Capris,,,,,,,
11319,Women,Apparel,Bottomwear,Capris,Blue,Fall,2011,Casual,United Colors of Benetton Women Washed Blue Capris,,,,,,,
7507,Women,Apparel,Bottomwear,Capris,Grey,Fall,2011,Sports,Nike Women As Be Strong Grey Capri,,,,,,,
28464,Women,Apparel,Bottomwear,Capris,Turquoise Blue,Summer,2012,Sports,Urban Yoga Women Turquoise Blue Capri,,,,,,,
27014,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Jealous 21 Women Washed Blue Capris,,,,,,,
27013,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Jealous 21 Women Washed Blue Shorts,,,,,,,
28632,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Sports,Nike Women Black Sports Capris,,,,,,,
5001,Women,Apparel,Bottomwear,Capris,Blue,Summer,2011,Casual,Gini and Jony Girl's Tamira Blue Kidswear,,,,,,,
28462,Women,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Urban Yoga Women Pink Capris,,,,,,,
27415,Women,Apparel,Bottomwear,Capris,Black,Winter,2015,Casual,Jockey Women Black Relaxed Capris,,,,,,,
28454,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Sports,Urban Yoga Women Black Capris,,,,,,,
54921,Women,Apparel,Bottomwear,Capris,Olive,Summer,2012,Casual,Do u speak green Women Olive Capris,,,,,,,
28521,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Sports,Nike Women Jersey Cuffed Black Capris,,,,,,,
7489,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Sports,Nike Women As Be Strong Black Capri,,,,,,,
57218,Women,Apparel,Bottomwear,Capris,Blue,Fall,2012,Casual,Kraus Jeans Women Blue Capris,,,,,,,
10719,Women,Apparel,Bottomwear,Capris,Blue,Fall,2011,Casual,Nike Women Training Blue Capris,,,,,,,
43076,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Sports,Nike Womens Black Capris,,,,,,,
43078,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Sports,Nike Women Black Capris,,,,,,,
16226,Women,Apparel,Bottomwear,Capris,Grey,Fall,2011,Casual,Puma Women Capri Sweat Grey Capris,,,,,,,
7488,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Sports,Nike Women Be Bold Black Capri,,,,,,,
2590,Women,Apparel,Bottomwear,Capris,Navy Blue,Summer,2011,Casual,Tribord Women Breeches Blue Capri,,,,,,,
57217,Women,Apparel,Bottomwear,Capris,Blue,Fall,2012,Casual,Kraus Jeans Women Blue Capris,,,,,,,
43077,Women,Apparel,Bottomwear,Capris,Grey,Summer,2012,Sports,Nike Womens Grey Capris,,,,,,,
57204,Women,Apparel,Bottomwear,Capris,Blue,Fall,2012,Casual,Kraus Jeans Women Blue Capris,,,,,,,
45500,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Fila Women Black Savari 3/4th Pants,,,,,,,
17925,Women,Apparel,Bottomwear,Capris,Blue,Fall,2011,Casual,Nike Women Casual Blue Capri,,,,,,,
19242,Women,Apparel,Bottomwear,Capris,Grey,Fall,2011,Casual,Puma Women Grey Capri Pants,,,,,,,
51359,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Spykar Women Blue Washed Capri,,,,,,,
7492,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Sports,Nike Women Squad Black Capri,,,,,,,
32633,Women,Apparel,Bottomwear,Capris,Black,Fall,2012,Sports,Nike Women Black Legend Slim Capris,,,,,,,
51361,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Spykar Women Blue Washed Capri,,,,,,,
57096,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Elle Women Blue Chambray Capris,,,,,,,
6523,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Sports,Nike Women Strong Poly Black Capri,,,,,,,
57205,Women,Apparel,Bottomwear,Capris,White,Fall,2012,Casual,Kraus Jeans Women White Capris,,,,,,,
57097,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Elle Women Blue Capris,,,,,,,
32632,Women,Apparel,Bottomwear,Capris,Grey,Summer,2012,Sports,Nike Women Legend Slim Poly Grey Capris,,,,,,,
7493,Women,Apparel,Bottomwear,Capris,Purple,Summer,2011,Sports,Nike Women Squad Purple Capri,,,,,,,
57099,Women,Apparel,Bottomwear,Capris,Purple,Summer,2012,Casual,Elle Women Purple Capris,,,,,,,
2578,Women,Apparel,Bottomwear,Capris,White,Summer,2011,Casual,Domyos Women White Capri,,,,,,,
51369,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Spykar Women Blue Capri,,,,,,,
13257,Women,Apparel,Bottomwear,Capris,Purple,Fall,2011,Casual,Palm Tree Kids Girls Solid Purple Capris,,,,,,,
27408,Women,Apparel,Bottomwear,Capris,Grey Melange,Summer,2018,Casual,Jockey Women Grey Melange Knit Capris 1300,,,,,,,
26982,Women,Apparel,Bottomwear,Capris,Beige,Summer,2012,Casual,Jealous 21 Women Beige Capris,,,,,,,
41080,Women,Apparel,Bottomwear,Capris,Blue,Summer,2013,Casual,Allen Solly Woman Blue Capri,,,,,,,
4906,Women,Apparel,Bottomwear,Capris,Blue,Summer,2011,Casual,Palm Tree Girl's Belen Pedal Pusher Kidswear,,,,,,,
3911,Women,Apparel,Bottomwear,Capris,Navy Blue,Summer,2011,Casual,Urban Yoga Women Yoga Navy Capri,,,,,,,
35994,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Flying Machine Women Washed Blue Capris,,,,,,,
5015,Women,Apparel,Bottomwear,Capris,White,Summer,2016,Casual,Levis Kids Girls Alicia White Capris,,,,,,,
15351,Women,Apparel,Bottomwear,Capris,Grey,Fall,2011,Sports,Nike Women Solid Grey Capris,,,,,,,
7514,Women,Apparel,Bottomwear,Capris,Purple,Summer,2011,Sports,Nike Women Be Fast Purple Capri,,,,,,,
58736,Women,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Puma Women Coral Capris,,,,,,,
8758,Women,Apparel,Bottomwear,Capris,Black,Fall,2011,Sports,Puma Women Move Dance Black Capri,,,,,,,
6863,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Ethnic,Forever New Women Length Legging Black Capri,,,,,,,
27407,Women,Apparel,Bottomwear,Capris,Charcoal,Summer,2018,Casual,Jockey Women Charcoal Capris,,,,,,,
5014,Women,Apparel,Bottomwear,Capris,Navy Blue,Summer,2016,Casual,Levis Kids Girl's Blake Navy Blue Kidswear,,,,,,,
27030,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Jealous 21 Women Blue Capris,,,,,,,
30613,Women,Apparel,Bottomwear,Capris,Grey,Summer,2012,Sports,Nike Women Trainning Grey Capris,,,,,,,
3910,Women,Apparel,Bottomwear,Capris,Green,Summer,2011,Casual,Urban Yoga Women Yoga Green Capri,,,,,,,
6889,Women,Apparel,Topwear,Jackets,Cream,Summer,2011,Casual,Forever New Women Stone Cream Jacket,,,,,,,
6887,Women,Apparel,Topwear,Jackets,Blue,Summer,2011,Casual,Forever New Women Indigo Wash Blue Jacket,,,,,,,
6880,Women,Apparel,Topwear,Jackets,Black,Summer,2011,Casual,Forever New Women Long Black Jacket,,,,,,,
19342,Women,Apparel,Topwear,Jackets,Black,Fall,2011,Casual,United Colors of Benetton Women Solid Black Jacket,,,,,,,
8785,Women,Apparel,Topwear,Jackets,Pink,Fall,2011,Casual,Lotto Women Cathy Pink Jacket,,,,,,,
6886,Women,Apparel,Topwear,Jackets,Black,Summer,2011,Casual,Forever New Women Puff Sleeve Tux Black Jacket,,,,,,,
20376,Women,Apparel,Topwear,Jackets,Blue,Fall,2011,Casual,Urban Yoga Women Solid Blue Jacket,,,,,,,
13995,Women,Apparel,Topwear,Jackets,Blue,Fall,2011,Sports,Nike Women Solid Blue Jackets,,,,,,,
19004,Women,Apparel,Topwear,Jackets,Red,Summer,2011,Casual,ADIDAS Originals Women Firebird Red Jacket,,,,,,,
18524,Women,Apparel,Topwear,Jackets,Black,Fall,2011,Casual,C Vox Women Solid 1351 Black Jacket,,,,,,,
20377,Women,Apparel,Topwear,Jackets,Pink,Fall,2011,Casual,Urban Yoga Women Solid Pink Jacket,,,,,,,
10777,Women,Apparel,Topwear,Jackets,Purple,Summer,2011,Sports,Nike Women Hooded Purple Jacket,,,,,,,
15039,Women,Apparel,Topwear,Jackets,Pink,Fall,2011,Casual,ADIDAS Women Stripes Pink Jackets,,,,,,,
57068,Women,Apparel,Topwear,Jackets,Blue,Summer,2012,Casual,Elle Women Navy Blue Jacket,,,,,,,
25025,Women,Apparel,Topwear,Jackets,Purple,Fall,2011,Sports,Nike Women Vapor Purple Jacket,,,,,,,
57066,Women,Apparel,Topwear,Jackets,Pink,Summer,2012,Casual,Elle Women Pink Jacket,,,,,,,
30906,Women,Apparel,Topwear,Jackets,Maroon,Summer,2012,Ethnic,Fabindia Women Reversible Jacket,,,,,,,
8477,Women,Apparel,Topwear,Jackets,Blue,Fall,2011,Casual,Forever New Women Washed Blue Jacket,,,,,,,
18961,Women,Apparel,Topwear,Jackets,Grey,Fall,2011,Casual,United Colors of Benetton Women Solid Grey Jacket,,,,,,,
57067,Women,Apparel,Topwear,Jackets,Green,Summer,2012,Casual,Elle Women Green Retro Jacket,,,,,,,
12807,Women,Apparel,Topwear,Jackets,Pink,Fall,2011,Sports,Nike Women Hood Pink Jackets,,,,,,,
17911,Women,Apparel,Topwear,Jackets,Black,Fall,2011,Casual,Nike Women Sptcas Black Jacket,,,,,,,
57069,Women,Apparel,Topwear,Jackets,Charcoal,Summer,2012,Casual,Elle Women Charcoal Waistcoat,,,,,,,
18957,Women,Apparel,Topwear,Jackets,Grey,Fall,2011,Casual,United Colors of Benetton Women Solid Grey Knitted Jacket,,,,,,,
8478,Women,Apparel,Topwear,Jackets,Blue,Fall,2011,Casual,Forever New Women Vintage Blue Jackets,,,,,,,
19332,Women,Apparel,Topwear,Jackets,Black,Fall,2011,Casual,United Colors of Benetton Women Solid Black Jacket,,,,,,,
19333,Women,Apparel,Topwear,Jackets,Navy Blue,Fall,2011,Casual,United Colors of Benetton Women Solid Navy Blue Jacket,,,,,,,
20208,Women,Apparel,Topwear,Jackets,Purple,Fall,2011,Casual,Wrangler Women Solid Purple Jacket,,,,,,,
6877,Women,Apparel,Topwear,Jackets,Pink,Summer,2011,Casual,Forever New Women Soft Magnolia Pink Jacket,,,,,,,
6884,Women,Apparel,Topwear,Jackets,Cream,Summer,2011,Casual,Forever New Women Ivory Cream Jacket,,,,,,,
12532,Women,Apparel,Topwear,Jackets,Black,Fall,2011,Casual,Puma Women Solid Black Jackets,,,,,,,
12533,Women,Apparel,Topwear,Jackets,Purple,Fall,2011,Casual,Puma Women Solid Purple Jackets,,,,,,,
6882,Women,Apparel,Topwear,Jackets,Cream,Summer,2011,Casual,Forever New Women Long Peach Jacket,,,,,,,
6876,Women,Apparel,Topwear,Jackets,Peach,Summer,2011,Casual,Forever New Women Peach Jacket,,,,,,,
6878,Women,Apparel,Topwear,Jackets,Blue,Summer,2011,Casual,Forever New Women Long Blue Jacket,,,,,,,
31317,Women,Apparel,Topwear,Jackets,Teal,Summer,2012,Casual,W Women Teal Jacket,,,,,,,
43673,Women,Apparel,Topwear,Jackets,Blue,Summer,2012,Casual,ONLY Women Blue Jacket,,,,,,,
18520,Women,Apparel,Topwear,Jackets,Black,Fall,2011,Casual,C Vox Women Solid 1354 Black Jacket,,,,,,,
19009,Women,Apparel,Topwear,Jackets,White,Summer,2011,Casual,ADIDAS Originals Women F Night Logo TT White Jacket,,,,,,,
13996,Women,Apparel,Topwear,Jackets,Black,Fall,2011,Sports,Nike Women Solid Black Jackets,,,,,,,
23150,Women,Apparel,Topwear,Jackets,Purple,Fall,2011,Casual,Quechua Women  Fleece Purple Jacket,,,,,,,
19012,Women,Apparel,Topwear,Jackets,Pink,Summer,2011,Casual,ADIDAS Originals Women Supergirl TT Pink Jacket,,,,,,,
31443,Women,Apparel,Topwear,Jackets,Red,Summer,2012,Sports,Nike Women Football Red Jacket,,,,,,,
46121,Women,Apparel,Topwear,Jackets,Black,Summer,2015,Casual,Wildcraft Women Black Jacket,,,,,,,
57062,Women,Apparel,Topwear,Jackets,Blue,Summer,2012,Casual,Elle Women Blue Jacket,,,,,,,
17912,Women,Apparel,Topwear,Jackets,Cream,Fall,2011,Casual,Nike Women Casual Cream Jacket,,,,,,,
57063,Women,Apparel,Topwear,Jackets,White,Summer,2012,Casual,Elle Women White Jacket,,,,,,,
57064,Women,Apparel,Topwear,Jackets,Black,Summer,2012,Casual,Elle Women Black Jacket,,,,,,,
6891,Women,Apparel,Topwear,Jackets,Black,Summer,2011,Casual,Forever New Women Long Black Jacket,,,,,,,
19331,Women,Apparel,Topwear,Jackets,Navy Blue,Fall,2011,Casual,United Colors of Benetton Women Solid Navy Blue Jacket,,,,,,,
1611,Women,Apparel,Topwear,Jackets,Black,Summer,2010,Sports,Reebok Knit Rib Women Black Jacket,,,,,,,
1610,Women,Apparel,Topwear,Jackets,Navy Blue,Summer,2011,Casual,Reebok Navy Jacket,,,,,,,
19330,Women,Apparel,Topwear,Jackets,Black,Fall,2011,Casual,United Colors of Benetton Women Solid Black Jacket,,,,,,,
11368,Women,Apparel,Topwear,Jackets,Black,Fall,2011,Casual,United Colors Of Benetton Women Light Winter Black Jackets,,,,,,,
10017,Women,Apparel,Topwear,Jackets,Blue,Fall,2011,Sports,Nike Women As The Windru Blue Jackets,,,,,,,
22314,Women,Apparel,Topwear,Jackets,Black,Fall,2011,Casual,Wildcraft Women Solid Black Jacket,,,,,,,
41009,Girls,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012,Casual,Gini and Jony Girls Woven Navy Blue Jeans,,,,,,,
41008,Girls,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012,Casual,Gini and Jony Girls Woven Navy Blue Jeans,,,,,,,
33147,Girls,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Gini and Jony Girls Blue Jeans,,,,,,,
38501,Girls,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012,Casual,Gini and Jony Woven Navy Blue Jeans,,,,,,,
38500,Girls,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,Gini and Jony Girls Woven Black Jeans,,,,,,,
